1.,Lukáš Hájek,,U,5,9,0,0,6,15,0,11,3,8
2.,Marek Bräuer,,U,5,4,0,0,5,9,0,9,4,5
3.,Marek Matejčík,,U,5,2,0,0,6,8,4,11,3,8
4.,Adam Delong,,U,5,5,0,0,2,7,0,11,4,7
5.,Matyáš Šindler,,U,5,0,0,0,7,7,0,11,4,7
6.,Rostislav Gattnar,,U,5,5,2,0,1,6,0,10,4,6
7.,Jiří Besta,,U,5,4,0,0,1,5,4,8,5,3
8.,Jakub Hubálek,,O,5,3,1,0,2,5,0,15,3,12
9.,Tomáš Sladký,,U,5,2,0,0,3,5,0,10,3,7
10.,Šimon Kuczera,,O,5,2,0,0,0,2,0,6,3,3
11.,Filip Čonka-Skyba,,U,5,1,0,0,1,2,0,7,3,4
12.,Jan Šebesta,,U,5,1,0,0,1,2,2,12,1,11
13.,Marek Švajný,,U,5,1,0,0,0,1,2,0,0,0
14.,Ondřej Sidunov,,U,5,1,0,0,0,1,2,10,3,7
15.,Adam Choma,,U,5,0,0,0,1,1,2,4,2,2
16.,Štěpán Kaleta,,O,5,0,0,0,0,0,0,2,2,0
17.,Šimon Hatala,,O,5,0,0,0,0,0,0,7,3,4
18.,Denis Jasiok,,G,0,0,0,0,0,0,0,0,0,0
19.,Martin Nehera,,O,5,0,0,0,0,0,0,8,5,3
20.,Lukáš Souček,,G,0,0,0,0,0,0,0,0,0,0
