,1. Tomáš Brom,,17
,2. Jiří Juhaňák,,16
,3. Luděk Ondráček,,15
,4. Martin Nagy,,11
,5. Adam Hemerka,,11
,1. Filip Kuhn,,"4,97"
,2. Ondřej Kolajta,,"5,19"
,3. Filip Létal,,"13,98"
,,,
,,,
,1. Luděk Ondráček,,11
,2. Tomáš Brom,,9
,3. Martin Nagy,,8
,4. Adam Hemerka,,7
,5. René Slezák,,6
,1. Filip Kuhn,,2
,2. Ondřej Kolajta,,1
,3. Filip Létal,,0
,,,
,,,
,1. Jiří Juhaňák,,13
,2. Tomáš Brom,,8
,3. David Sládeček,,5
,4. Adam Hemerka,,4
,5. Luděk Ondráček,,4
,1. Filip Kuhn,,25
,2. Adam Hemerka,,10
,3. David Sládeček,,10
,4. Dominik Dvořák,,9
,5. Jiří Halama,,6
