,1. Jiří Curney,,35
,2. Jan Natov,,27
,3. Jakub Bína,,22
,4. Martin Tokoš,,16
,5. Mikuláš Komárek,,16
,1. Lukáš Bauer,,"3,65"
,2. Petr Musil,,"4,74"
,3. Marek Macík,,"0,00"
,4. Ondřej Tomšík,,"15,00"
,,,
,1. Jakub Bína,,19
,2. Jan Natov,,16
,3. Jiří Curney,,15
,4. Martin Tokoš,,12
,5. Mikuláš Komárek,,8
,1. Lukáš Bauer,,10
,2. Petr Musil,,3
,3. Ondřej Tomšík,,1
,4. Marek Macík,,0
,,,
,1. Jiří Curney,,20
,2. Jan Natov,,11
,3. Petr Krzyžanek,,10
,4. Daniel Šebek,,9
,5. Mikuláš Komárek,,8
,1. Jan Natov,,16
,2. Martin Tokoš,,14
,3. Jan Řehoř,,6
,4. Aleš Höffer,,4
,5. Daniel Šebek,,4
