,1. Adam Šmíd,,24
,2. Ivo Teichman,,13
,3. Jan Savický,,11
,4. Marcel Lehký,,10
,5. Přemek Pakosta,,9
,1. Martin Haleš,,"7,53"
,2. Jiří Veinfurter,,"0,00"
,3. Karel Aubus,,"15,01"
,,,
,,,
,1. Adam Šmíd,,13
,2. Jan Savický,,8
,3. Petr Černý,,8
,4. Ivo Teichman,,5
,5. David Petržela,,4
,1. Martin Haleš,,3
,2. Jiří Veinfurter,,0
,3. Karel Aubus,,0
,,,
,,,
,1. Adam Šmíd,,11
,2. Ivo Teichman,,8
,3. Marcel Lehký,,6
,4. Přemek Pakosta,,6
,5. Michal Smola,,4
,1. David Žáček,,8
,2. Lukáš Prix,,8
,3. Adam Šmíd,,6
,4. David Petržela,,6
,5. Marcel Lehký,,6
