1.,Adam Šmíd,,,12,13,2,0,11,24,6,29,34,-5
2.,Ivo Teichman,,U,11,5,0,0,8,13,0,14,30,-16
3.,Jan Savický,,U,12,8,0,0,3,11,4,28,35,-7
4.,Marcel Lehký,,O,12,4,0,0,6,10,6,21,30,-9
5.,Přemek Pakosta,,U,12,3,1,0,6,9,4,28,35,-7
6.,Petr Černý,,,12,8,0,0,0,8,2,8,23,-15
7.,Lukáš Prix,,,10,4,0,0,2,6,8,14,21,-7
8.,David Petržela,,,12,4,0,0,2,6,6,15,30,-15
9.,David Žáček,,,11,3,0,1,3,6,8,12,20,-8
10.,Michal Smola,,,11,2,0,0,4,6,0,15,25,-10
11.,Václav Oubrecht,,O,4,2,0,0,1,3,2,11,9,2
12.,Radek Formánek,,U,11,0,0,0,3,3,2,11,24,-13
13.,Vojtěch Kaluža,,,12,0,0,0,3,3,2,15,24,-9
14.,Vojtěch Rusin,,,6,2,0,0,0,2,0,4,7,-3
15.,Lukáš Kučera,,,10,1,0,0,1,2,2,7,23,-16
16.,Vojtěch Klein,,O,12,1,0,0,1,2,2,11,12,-1
17.,Tomáš Kucharič,,U,6,1,0,0,0,1,2,4,10,-6
18.,Matyáš Velc,,,1,0,0,0,1,1,0,0,0,0
19.,Martin Haleš,,G,0,0,0,0,1,1,0,0,0,0
20.,Jiří Veinfurter,,G,0,0,0,0,0,0,0,0,0,0
21.,Matyáš Mík,,,1,0,0,0,0,0,0,0,0,0
22.,Jan Kourek,,U,3,0,0,0,0,0,0,4,5,-1
23.,Jiří Kohoutek,,,7,0,0,0,0,0,2,2,3,-1
24.,Lukáš Slabý,,O,11,0,0,0,0,0,2,12,20,-8
25.,Karel Aubus,,,2,0,0,0,0,0,0,0,1,-1
26.,Marek Weinelt,,,12,0,0,0,0,0,2,6,6,0
