1.,Mikuláš Krbec,,U,14,12,1,0,15,27,4,40,28,12
2.,Lukáš Ujhelyi,,U,13,17,4,2,7,24,0,38,23,15
3.,Matěj Čermák,,,14,8,0,0,10,18,4,29,19,10
4.,Jakub Kolstrunk,,U,14,11,1,0,5,16,2,40,20,20
5.,Josef Juha,,,12,7,0,0,7,14,4,16,20,-4
6.,Marek Zouzal,,U,14,3,0,0,11,14,2,29,18,11
7.,Radim Křenek,,O,14,5,2,0,7,12,4,41,21,20
8.,Dominik Beneš,,,9,7,1,0,1,8,0,23,10,13
9.,Matyáš Bachmaier,,,9,5,0,0,2,7,2,18,12,6
10.,Michal Zeman,,O,14,3,0,0,3,6,6,32,18,14
11.,Milan Garčar,,O,8,2,0,0,3,5,4,12,10,2
12.,Kristián Kozák,,,13,3,2,0,1,4,8,10,14,-4
13.,Ondřej Hurt,,,10,2,0,0,2,4,0,8,5,3
14.,Matěj Pruner,,U,13,2,0,0,2,4,24,20,20,0
15.,Dominik Bartoš,,O,14,2,0,0,2,4,4,24,20,4
16.,Tomáš Dibelka,,,5,2,0,0,1,3,0,4,4,0
17.,Martin Dolejš,,U,9,2,0,0,1,3,0,13,10,3
18.,Ondřej Riebauer,,U,3,1,0,0,2,3,0,10,6,4
19.,Matyáš Velc,,,6,1,0,0,1,2,2,3,3,0
20.,Marek Koščo,,,12,1,0,0,1,2,0,5,8,-3
21.,Michal Pažák,,U,7,0,0,0,2,2,8,16,11,5
22.,Michal Kareš,,U,9,0,0,0,2,2,2,11,8,3
23.,Martin Beneš,,G,0,0,0,0,1,1,4,0,0,0
24.,Ondřej Pelech,,,0,0,0,0,0,0,0,0,0,0
25.,Šimon Masár,,,4,0,0,0,0,0,0,0,0,0
26.,Marek Veselý,,,7,0,0,0,0,0,0,3,7,-4
27.,Patrik Zítka,,G,0,0,0,0,0,0,0,0,0,0
