,1. Filip Langer,,38
,2. Ondřej Němeček,,31
,3. Milan Meliš,,25
,4. Martin Šindelář,,24
,5. Matěj Havlas,,23
,1. Lukáš Kříž,,"4,33"
,2. Tomáš Jurco,,"5,88"
,3. Martin Frühbauer,,"8,68"
,,,
,,,
,1. Filip Langer,,20
,2. Matěj Havlas,,14
,3. Milan Meliš,,13
,4. Petr Brautferger,,13
,5. Ondřej Němeček,,12
,1. Lukáš Kříž,,10
,2. Tomáš Jurco,,2
,3. Martin Frühbauer,,1
,,,
,,,
,1. Ondřej Němeček,,19
,2. Filip Langer,,18
,3. Martin Šindelář,,13
,4. Milan Meliš,,12
,5. Matěj Havlas,,9
,1. Petr Novotný,,14
,2. Filip Langer,,6
,3. Martin Šindelář,,6
,4. Pavel Sládeček,,6
,5. Petr Brautferger,,6
